property_type,zip,neighborhood,latitude,longitude
K-12 School,98106,DELRIDGE NEIGHBORHOODS,47.52560204,-122.3487068
Non-Refrigerated Warehouse,98103,LAKE UNION,47.65094364,-122.34223770000001
K-12 School,98116,SOUTHWEST,47.57662845,-122.3846578
K-12 School,98105,NORTHEAST,47.66549171,-122.31400670000001
Office,98125,NORTH,47.71892746,-122.29475890000002
Worship Facility,98105,NORTHEAST,47.66176886,-122.31120370000001
Worship Facility,98105,NORTHEAST,47.66262897,-122.31147539999999
K-12 School,98115,NORTHEAST,47.67746117,-122.3130281
K-12 School,98115,NORTHEAST,47.67115081,-122.29181820000001
K-12 School,98119,MAGNOLIA / QUEEN ANNE,47.64090041,-122.3656176
K-12 School,98116,SOUTHWEST,47.5724098,-122.3916721
K-12 School,98144,CENTRAL,47.59101433,-122.2981281
K-12 School,98108,GREATER DUWAMISH,47.55156934,-122.31380359999999
Other,98119,MAGNOLIA / QUEEN ANNE,47.63640533,-122.37916940000001
Medical Office,98119,MAGNOLIA / QUEEN ANNE,47.61994816,-122.36066409999998
Retail Store,98105,NORTHEAST,47.6605111,-122.3128304
Office,98105,NORTHEAST,47.66073759,-122.31466940000001
Data Center,98105,NORTHEAST,47.66007677,-122.31539972
Office,98105,NORTHEAST,47.66095645,-122.3162654
Office,98105,NORTHEAST,47.66044059,-122.31694350000001
Office,98105,NORTHEAST,47.66053047,-122.3174071
Supermarket/Grocery Store,98177,NORTHWEST,47.70184827,-122.36437781
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.54032619,-122.33015747
Retail Store,98144,SOUTHEAST,47.57965631,-122.29880174
Mixed Use Property,98108,GREATER DUWAMISH,47.52726155,-122.29392927
Non-Refrigerated Warehouse,98133,NORTHWEST,47.72957286,-122.34642876
Parking,98109,LAKE UNION,47.62320708,-122.32984117
Office,98109,LAKE UNION,47.62347121,-122.32929694
Non-Refrigerated Warehouse,98107,BALLARD,47.65748867,-122.36767478
Non-Refrigerated Warehouse,98107,BALLARD,47.66611816,-122.38549485
Mixed Use Property,98109,LAKE UNION,47.61932082,-122.3481439
Mixed Use Property,98109,LAKE UNION,47.61892137,-122.34857379999998
